ID,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,AIRLINE,FLIGHT_ID,DELAY
8,2015,1,1,4,US Airways Inc.,2013,N584UW,LAX,CLT,0030,0044,14,13,0057,273,249,228,2125,745,8,0803,753,-10,0,0,,,,,,,US Airways Inc.,8,14
74,2015,1,1,4,US Airways Inc.,425,N174US,PDX,PHX,0520,0620,60,13,0633,150,150,132,1009,945,5,0850,950,60,0,0,,0,0,60,0,0,US Airways Inc.,74,60
379,2015,1,1,4,US Airways Inc.,647,N664AW,BOS,PHX,0605,0614,9,14,0628,369,373,355,2300,1023,4,1014,1027,13,0,0,,,,,,,US Airways Inc.,379,9
387,2015,1,1,4,US Airways Inc.,560,N663AW,DFW,PHX,0605,0612,7,15,0627,157,158,140,868,747,3,0742,750,8,0,0,,,,,,,US Airways Inc.,387,7
429,2015,1,1,4,US Airways Inc.,1709,N677AW,EWR,CLT,0610,0616,6,29,0645,121,130,95,529,820,6,0811,826,15,0,0,,9,0,6,0,0,US Airways Inc.,429,6
465,2015,1,1,4,US Airways Inc.,1789,N543UW,PHX,CLT,0615,0629,14,12,0641,228,207,183,1773,1144,12,1203,1156,-7,0,0,,,,,,,US Airways Inc.,465,14
666,2015,1,1,4,US Airways Inc.,1946,N915US,EWR,CLT,0640,0648,8,11,0659,121,104,88,529,827,5,0841,832,-9,0,0,,,,,,,US Airways Inc.,666,8
757,2015,1,1,4,US Airways Inc.,1866,N626AW,PIT,CLT,0650,0653,3,11,0704,99,87,68,366,812,8,0829,820,-9,0,0,,,,,,,US Airways Inc.,757,3
865,2015,1,1,4,US Airways Inc.,568,N565UW,SLC,PHX,0700,0701,1,29,0730,109,109,68,507,838,12,0849,850,1,0,0,,,,,,,US Airways Inc.,865,1
867,2015,1,1,4,US Airways Inc.,621,N185UW,DCA,PHX,0700,0701,1,15,0716,320,324,306,1979,1022,3,1020,1025,5,0,0,,,,,,,US Airways Inc.,867,1
1001,2015,1,1,4,US Airways Inc.,556,N749US,MKE,PHX,0705,0707,2,11,0718,245,244,228,1460,1006,5,1010,1011,1,0,0,,,,,,,US Airways Inc.,1001,2
1253,2015,1,1,4,US Airways Inc.,506,N808AW,STL,PHX,0730,0732,2,10,0742,221,220,203,1262,1005,7,1011,1012,1,0,0,,,,,,,US Airways Inc.,1253,2
1409,2015,1,1,4,US Airways Inc.,1707,N724UW,BNA,CLT,0745,0753,8,18,0811,85,88,50,328,1001,20,1010,1021,11,0,0,,,,,,,US Airways Inc.,1409,8
1411,2015,1,1,4,US Airways Inc.,1752,N810AW,AUS,PHL,0745,0803,18,11,0814,191,166,148,1430,1142,7,1156,1149,-7,0,0,,,,,,,US Airways Inc.,1411,18
1593,2015,1,1,4,US Airways Inc.,540,N809AW,PHX,DFW,0800,0825,25,27,0852,135,145,108,868,1140,10,1115,1150,35,0,0,,10,0,25,0,0,US Airways Inc.,1593,25
1838,2015,1,1,4,US Airways Inc.,1814,N941UW,PHX,PHL,0815,0844,29,15,0859,257,256,237,2075,1456,4,1432,1500,28,0,0,,0,0,28,0,0,US Airways Inc.,1838,29
1841,2015,1,1,4,US Airways Inc.,2053,N114UW,DTW,CLT,0815,0822,7,22,0844,117,118,75,500,959,21,1012,1020,8,0,0,,,,,,,US Airways Inc.,1841,7
1925,2015,1,1,4,US Airways Inc.,457,N585UW,DFW,PHX,0820,0822,2,14,0836,172,169,143,868,959,12,1012,1011,-1,0,0,,,,,,,US Airways Inc.,1925,2
1926,2015,1,1,4,US Airways Inc.,591,N753US,PHX,SJC,0820,0856,36,18,0914,116,115,95,621,949,2,0916,951,35,0,0,,0,0,35,0,0,US Airways Inc.,1926,36
1961,2015,1,1,4,US Airways Inc.,718,N586UW,SFO,PHL,0825,0826,1,12,0838,317,312,296,2521,1634,4,1642,1638,-4,0,0,,,,,,,US Airways Inc.,1961,1
2106,2015,1,1,4,US Airways Inc.,560,N663AW,PHX,SEA,0835,0845,10,13,0858,187,170,151,1107,1029,6,1042,1035,-7,0,0,,,,,,,US Airways Inc.,2106,10
2172,2015,1,1,4,US Airways Inc.,491,N582UW,PHX,LAX,0840,0847,7,19,0906,90,93,60,370,906,14,0910,920,10,0,0,,,,,,,US Airways Inc.,2172,7
2214,2015,1,1,4,US Airways Inc.,1729,N938UW,MCO,CLT,0845,0847,2,15,0902,100,97,72,468,1014,10,1025,1024,-1,0,0,,,,,,,US Airways Inc.,2214,2
2215,2015,1,1,4,US Airways Inc.,1751,N180US,SEA,PHL,0845,0933,48,15,0948,304,293,273,2378,1721,5,1649,1726,37,0,0,,0,0,37,0,0,US Airways Inc.,2215,48
2239,2015,1,1,4,US Airways Inc.,465,N184US,PHX,ORD,0845,0853,8,20,0913,202,192,160,1440,1253,12,1307,1305,-2,0,0,,,,,,,US Airways Inc.,2239,8
