ID,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,AIRLINE,FLIGHT_ID,DELAY
439,2015,1,1,4,Alaska Airlines Inc.,454,N442AS,SEA,LAX,0610,0611,1,19,0630,155,150,122,954,832,9,0845,841,-4,0,0,,,,,,,Alaska Airlines Inc.,439,1
679,2015,1,1,4,Alaska Airlines Inc.,558,N307AS,PDX,LAX,0640,0643,3,10,0653,144,136,110,834,843,16,0904,859,-5,0,0,,,,,,,Alaska Airlines Inc.,679,3
683,2015,1,1,4,Alaska Airlines Inc.,709,N769AS,SLC,SJC,0640,0747,67,28,0815,123,106,75,584,830,3,0743,833,50,0,0,,0,0,0,0,50,Alaska Airlines Inc.,683,67
889,2015,1,1,4,Alaska Airlines Inc.,17,N419AS,EWR,SEA,0700,0701,1,13,0714,371,374,356,2402,1010,5,1011,1015,4,0,0,,,,,,,Alaska Airlines Inc.,889,1
899,2015,1,1,4,Alaska Airlines Inc.,531,N529AS,BUR,SEA,0700,0904,124,10,0914,150,146,132,937,1126,4,0930,1130,120,0,0,,0,0,0,0,120,Alaska Airlines Inc.,899,124
902,2015,1,1,4,Alaska Airlines Inc.,722,N403AS,SLC,LAX,0700,0717,17,24,0741,125,113,82,590,803,7,0805,810,5,0,0,,,,,,,Alaska Airlines Inc.,902,17
1162,2015,1,1,4,Alaska Airlines Inc.,222,N315AS,SEA,SFO,0720,0728,8,23,0751,129,147,99,679,930,25,0929,955,26,0,0,,18,0,8,0,0,Alaska Airlines Inc.,1162,8
1164,2015,1,1,4,Alaska Airlines Inc.,865,N516AS,OAK,OGG,0720,0739,19,14,0753,329,339,322,2349,1115,3,1049,1118,29,0,0,,10,0,19,0,0,Alaska Airlines Inc.,1164,19
1341,2015,1,1,4,Alaska Airlines Inc.,676,N607AS,SEA,DEN,0735,0737,2,16,0753,151,173,148,1024,1121,9,1106,1130,24,0,0,,24,0,0,0,0,Alaska Airlines Inc.,1341,2
1483,2015,1,1,4,Alaska Airlines Inc.,482,N433AS,SEA,LAX,0750,0802,12,8,0810,166,143,126,954,1016,9,1036,1025,-11,0,0,,,,,,,Alaska Airlines Inc.,1483,12
1485,2015,1,1,4,Alaska Airlines Inc.,743,N797AS,SLC,SFO,0750,0806,16,29,0835,125,113,77,599,852,7,0855,859,4,0,0,,,,,,,Alaska Airlines Inc.,1485,16
1612,2015,1,1,4,Alaska Airlines Inc.,8,N464AS,SEA,EWR,0800,0809,9,12,0821,309,279,262,2402,1543,5,1609,1548,-21,0,0,,,,,,,Alaska Airlines Inc.,1612,9
1616,2015,1,1,4,Alaska Airlines Inc.,337,N786AS,SJC,SEA,0800,0807,7,12,0819,124,118,101,697,1000,5,1004,1005,1,0,0,,,,,,,Alaska Airlines Inc.,1616,7
1733,2015,1,1,4,Alaska Airlines Inc.,16,N590AS,SEA,MCO,0805,0806,1,19,0825,320,328,306,2554,1631,3,1625,1634,9,0,0,,,,,,,Alaska Airlines Inc.,1733,1
2033,2015,1,1,4,Alaska Airlines Inc.,34,N413AS,SEA,ORD,0830,0845,15,14,0859,235,218,197,1721,1416,7,1425,1423,-2,0,0,,,,,,,Alaska Airlines Inc.,2033,15
2112,2015,1,1,4,Alaska Airlines Inc.,718,N596AS,SLC,SAN,0835,0842,7,27,0909,125,111,81,626,930,3,0940,933,-7,0,0,,,,,,,Alaska Airlines Inc.,2112,7
2182,2015,1,1,4,Alaska Airlines Inc.,38,N562AS,SEA,FLL,0840,0857,17,24,0921,350,349,321,2717,1742,4,1730,1746,16,0,0,,0,0,0,0,16,Alaska Airlines Inc.,2182,17
2248,2015,1,1,4,Alaska Airlines Inc.,246,N530AS,SEA,SAN,0845,0853,8,33,0926,161,173,137,1050,1143,3,1126,1146,20,0,0,,12,0,0,0,8,Alaska Airlines Inc.,2248,8
2249,2015,1,1,4,Alaska Airlines Inc.,792,N408AS,SEA,DTW,0845,0856,11,29,0925,255,248,209,1927,1554,10,1600,1604,4,0,0,,,,,,,Alaska Airlines Inc.,2249,11
2464,2015,1,1,4,Alaska Airlines Inc.,407,N769AS,SJC,PDX,0900,0915,15,11,0926,105,103,89,569,1055,3,1045,1058,13,0,0,,,,,,,Alaska Airlines Inc.,2464,15
2466,2015,1,1,4,Alaska Airlines Inc.,563,N403AS,LAX,PDX,0900,0903,3,19,0922,145,142,120,834,1122,3,1125,1125,0,0,0,,,,,,,Alaska Airlines Inc.,2466,3
2467,2015,1,1,4,Alaska Airlines Inc.,827,N594AS,OAK,HNL,0900,0903,3,8,0911,342,335,322,2409,1233,5,1242,1238,-4,0,0,,,,,,,Alaska Airlines Inc.,2467,3
2561,2015,1,1,4,Alaska Airlines Inc.,330,N584AS,SEA,SJC,0905,0909,4,25,0934,124,127,98,697,1112,4,1109,1116,7,0,0,,,,,,,Alaska Airlines Inc.,2561,4
2562,2015,1,1,4,Alaska Airlines Inc.,861,N583AS,SEA,OGG,0905,0942,37,21,1003,375,367,342,2640,1345,4,1320,1349,29,0,0,,0,0,29,0,0,Alaska Airlines Inc.,2562,37
2628,2015,1,1,4,Alaska Airlines Inc.,442,N553AS,SEA,LAX,0910,1055,105,20,1115,156,161,125,954,1320,16,1146,1336,110,0,0,,5,0,105,0,0,Alaska Airlines Inc.,2628,105
2760,2015,1,1,4,Alaska Airlines Inc.,12,N526AS,SEA,BOS,0920,0922,2,33,0955,319,314,275,2496,1730,6,1739,1736,-3,0,0,,,,,,,Alaska Airlines Inc.,2760,2
2761,2015,1,1,4,Alaska Airlines Inc.,311,N705AS,SFO,SEA,0920,0922,2,16,0938,125,122,98,679,1116,8,1125,1124,-1,0,0,,,,,,,Alaska Airlines Inc.,2761,2
2887,2015,1,1,4,Alaska Airlines Inc.,746,N459AS,SEA,ATL,0930,0935,5,19,0954,277,281,256,2182,1710,6,1707,1716,9,0,0,,,,,,,Alaska Airlines Inc.,2887,5
3167,2015,1,1,4,Alaska Airlines Inc.,568,N565AS,PDX,LAX,0950,0952,2,12,1004,145,131,108,834,1152,11,1215,1203,-12,0,0,,,,,,,Alaska Airlines Inc.,3167,2
3502,2015,1,1,4,Alaska Airlines Inc.,752,N609AS,SEA,MCI,1010,1038,28,24,1102,203,207,179,1489,1601,4,1533,1605,32,0,0,,4,0,28,0,0,Alaska Airlines Inc.,3502,28
3921,2015,1,1,4,Alaska Airlines Inc.,725,N612AS,SLC,SEA,1040,1041,1,10,1051,127,111,97,689,1128,4,1147,1132,-15,0,0,,,,,,,Alaska Airlines Inc.,3921,1
4312,2015,1,1,4,Alaska Airlines Inc.,895,N596AS,SAN,HNL,1105,1112,7,30,1142,374,390,348,2614,1530,12,1519,1542,23,0,0,,16,0,7,0,0,Alaska Airlines Inc.,4312,7
4385,2015,1,1,4,Alaska Airlines Inc.,452,N435AS,SEA,LAX,1110,1313,123,8,1321,151,141,126,954,1527,7,1341,1534,113,0,0,,0,0,113,0,0,Alaska Airlines Inc.,4385,123
4805,2015,1,1,4,Alaska Airlines Inc.,692,N593AS,SEA,SAT,1135,1146,11,18,1204,240,241,219,1774,1743,4,1735,1747,12,0,0,,,,,,,Alaska Airlines Inc.,4805,11
4884,2015,1,1,4,Alaska Airlines Inc.,748,N303AS,SEA,STL,1140,1242,62,11,1253,227,217,199,1709,1812,7,1727,1819,52,0,0,,0,0,52,0,0,Alaska Airlines Inc.,4884,62
4964,2015,1,1,4,Alaska Airlines Inc.,670,N461AS,SEA,AUS,1145,1146,1,14,1200,235,243,226,1770,1746,3,1740,1749,9,0,0,,,,,,,Alaska Airlines Inc.,4964,1
5116,2015,1,1,4,Alaska Airlines Inc.,306,N795AS,SEA,SFO,1155,1343,108,12,1355,124,112,93,679,1528,7,1359,1535,96,0,0,,0,0,96,0,0,Alaska Airlines Inc.,5116,108
5205,2015,1,1,4,Alaska Airlines Inc.,643,N409AS,PHX,SEA,1200,1203,3,38,1241,180,196,153,1107,1414,5,1400,1419,19,0,0,,19,0,0,0,0,Alaska Airlines Inc.,5205,3
5206,2015,1,1,4,Alaska Airlines Inc.,677,N607AS,DEN,SEA,1200,1214,14,22,1236,174,161,134,1024,1350,5,1354,1355,1,0,0,,,,,,,Alaska Airlines Inc.,5206,14
5207,2015,1,1,4,Alaska Airlines Inc.,818,N558AS,OGG,SMF,1200,1217,17,24,1241,307,308,278,2404,1919,6,1907,1925,18,0,0,,1,0,0,17,0,Alaska Airlines Inc.,5207,17
5382,2015,1,1,4,Alaska Airlines Inc.,862,N516AS,OGG,PDX,1210,1225,15,24,1249,333,324,295,2562,1944,5,1943,1949,6,0,0,,,,,,,Alaska Airlines Inc.,5382,15
